EMPLOYER,CAND_PTY_AFFILIATION,TRANSACTION_AMT
3M CO,DEM,500
3M CO,REP,1000
CA INC,REP,750
ABBOTT LABS,DEM,750
ABBOTT LABS,DEM,18526
ABBOTT LABS,REP,3250
ABERCROMBIE & FI,DEM,1220
ABERCROMBIE & FI,REP,250
ACE LTD,REP,300
ACCENTURE PLC-A,REP,36300
ACE LTD,REP,250
ACE LTD,DEM,11000
ACE LTD,REP,1000
AETNA INC,REP,3500
AETNA INC,DEM,3250
AETNA INC,REP,19200
AETNA INC,DEM,850
AFLAC INC,REP,2750
AGL RESOURCES,REP,2700
AIRGAS INC,REP,500
AIRGAS INC,REP,250
AIRGAS INC,DEM,1281
AKAMAI TECHNOLOG,DEM,6950
AKAMAI TECHNOLOG,REP,2975
ALCOA INC,REP,250
ALCOA INC,DEM,1750
ALCOA INC,REP,200
ALLSTATE CORP,REP,250
ALTERA CORP,REP,203
ALTERA CORP,DEM,300
ALTRIA GROUP INC,REP,1000
AMAZON.COM INC,DEM,1250
AMERICAN EXPRESS,DEM,37692
AMERICAN EXPRESS,REP,6482
AMERICAN EXPRESS,REP,250
AMERICAN EXPRESS,DEM,295
AMERISOURCEBERGE,DEM,1136
AMERISOURCEBERGE,REP,1000
AMERISOURCEBERGE,DEM,250
AMERISOURCEBERGE,REP,902
AMGEN INC,DEM,950
AMGEN INC,REP,750
AMGEN INC,DEM,5712
AMGEN INC,REP,3000
LAM RESEARCH,DEM,200
ANADARKO PETROLE,DEM,1000
ANADARKO PETROLE,REP,2351
ANALOG DEVICES,DEM,12805
ANALOG DEVICES,REP,1750
ANALOG DEVICES,REP,250
AON PLC,DEM,250
APACHE CORP,REP,1750
APACHE CORP,REP,1550
APOLLO GROUP-A,DEM,2410
APOLLO GROUP-A,REP,700
APPLE INC,DEM,11200
APPLE INC,REP,7053
APPLE INC,DEM,119495
APPLE INC,REP,27450
APPLE INC,DEM,3000
APPLE INC,REP,2402
APPLIED MATERIAL,DEM,8951
APPLIED MATERIAL,REP,4652
ASSURANT INC,REP,201
ASSURANT INC,DEM,7950
WASTE MANAGEMENT,DEM,250
AT&T INC,DEM,250
AT&T INC,REP,23723
AUTONATION INC,REP,5000
AUTODESK INC,DEM,250
AUTODESK INC,REP,250
AUTODESK INC,REP,250
AUTODESK INC,DEM,700
AUTODESK INC,DEM,4700
AUTONATION INC,REP,5000
AUTONATION INC,DEM,200
AVERY DENNISON,DEM,1382
AVERY DENNISON,REP,3000
AVON PRODUCTS,DEM,1400
BAKER HUGHES INC,DEM,500
BAKER HUGHES INC,REP,5000
BAKER HUGHES INC,DEM,200
BAKER HUGHES INC,REP,3750
BALL CORP,DEM,250
BANK OF AMERICA,REP,250
BANK OF AMERICA,DEM,103981
BANK OF AMERICA,REP,262391
BANK OF AMERICA,REP,27500
BANK OF AMERICA,DEM,200
BANK OF AMERICA,DEM,500
BANK OF AMERICA,REP,250
BANK NY MELLON,DEM,250
BEAM INC,DEM,750
BEAM INC,REP,1000
BECTON DICKINSON,DEM,250
BECTON DICKINSON,REP,450
BED BATH &BEYOND,DEM,825
BED BATH &BEYOND,REP,401
BED BATH &BEYOND,DEM,500
CERNER CORP,DEM,10000
BIG LOTS INC,DEM,625
BIOGEN IDEC INC,DEM,3500
BIOGEN IDEC INC,REP,250
