SECTOR,EMPLOYER,DEM,REP,STOCKPERCENTCHANGE
Consumer D,VF CORP,0,0,6.56658195425697
Health,INTUITIVE SURGIC,1500.0,17500.0,-4.89659222941275
Technology,CROWN CASTLE INT,0,0,-1.99349488747683
Consumer D,URBAN OUTFITTER,750.0,50000.0,-11.6383119850399
Health,WELLPOINT INC,5550.0,6373.0,-11.0812808083101
Energy,FMC TECHNOLOGIES,8955.0,11713.0,-15.0501683730467
Consumer D,BORGWARNER INC,0,0,-12.6023294121277
Energy,FIRST SOLAR INC,500.0,0,0
Producer,EXPEDITORS INTL,250.0,0,-13.6714185887583
Financial,AMERICAN INTERNA,0,0,-17.6531215944161
Utilities,CENTERPOINT ENER,750.0,5650.0,0.340469527405966
Technology,AKAMAI TECHNOLOG,6950.0,2975.0,-10.141114747533
Technology,BMC SOFTWARE INC,6500.0,4900.0,-3.03368596089114
Health,MERCK & CO,1725.0,1300.0,3.05017359401994
Financial,HUNTINGTON BANC,250.0,1068.0,-2.98535978792881
Financial,ALLSTATE CORP,0,250.0,-13.7600433142896
Financial,MARSH & MCLENNAN,36250.0,0,-5.67766502576693
Producer,FLOWSERVE CORP,0,0,-11.806179292731
Consumer S,KELLOGG CO,500.0,0,-7.65558260869566
Producer,STANLEY BLACK &,0,0,-12.3564989893971
Producer,PENTAIR LTD-REG,0,0,-39.3117007634148
Financial,FIRST HORIZON NA,0,0,0
Financial,FRANKLIN RES INC,0,0,-5.23157741767127
Health,AMGEN INC,6662.0,3750.0,0.740688488562264
Energy,NEWFIELD EXPLORA,0,0,-13.6717443104893
Financial,EQUITY RESIDENTI,19450.0,4000.0,5.97478764845605
Energy,EOG RESOURCES,200.0,55700.0,-6.68740763247669
Technology,JUNIPER NETWORKS,25506.0,8651.0,-20.3853000886019
Technology,CORNING INC,25925.0,2750.0,-8.48344878253569
Producer,STERICYCLE INC,500.0,4300.0,-1.56529708662884
Consumer S,JM SMUCKER CO,0,0,-4.0394812886764
Financial,FIFTH THIRD BANC,3450.0,5675.0,-8.95287197482832
Consumer D,CARNIVAL CORP,0,0,-8.68135265757097
Consumer D,COMCAST CORP-A,20000.0,500.0,-5.23315069408532
Utilities,CENTURYLINK INC,1450.0,0,-7.94653584271162
Financial,ACE LTD,11000.0,1550.0,-14.6881017796456
Health,ST JUDE MEDICAL,6163.0,7421.0,-8.70547688890177
Technology,GOOGLE INC-CL A,0,0,-9.57640670806692
Technology,TERADATA CORP,750.0,1000.0,-4.98343370247657
Consumer D,RALPH LAUREN COR,0,0,-3.48520178602698
Materials,ALCOA INC,1750.0,450.0,47.2222138888889
Consumer S,MOLSON COORS-B,250.0,2500.0,-8.3094527030534
Energy,PHILLIPS 66,2813.0,17650.0,0
Utilities,NISOURCE INC,0,853.0,-9.81978659768393
Health,THERMO FISHER,700.0,2750.0,-11.455368152113
Financial,CAPITAL ONE FINA,0,0,17.7631271272699
Health,VARIAN MEDICAL S,250.0,0,0.662846652738303
Financial,LEGG MASON INC,10500.0,0,-3.53210606449772
Utilities,PG&E CORP,0,0,-3.42722665833494
Financial,CME GROUP INC,0,250.0,-5.87515113677675
Financial,AFLAC INC,0,2750.0,-4.86242848310532
Health,TENET HEALTHCARE,3250.0,5000.0,-30.4856344626809
Consumer D,TARGET CORP,750.0,1450.0,2.4517062202413
Consumer S,COLGATE-PALMOLIV,3781.0,250.0,-5.16602221627803
Health,BOSTON SCIENTIFC,7490.0,4750.0,0
Producer,HONEYWELL INTL,250.0,3103.0,-7.91107241186131
Producer,DANAHER CORP,500.0,1250.0,-11.838660468568
Financial,INVESCO LTD,0,25250.0,-20.0110252924579
Technology,MOTOROLA SOLUTIO,2250.0,4913.0,9.85413058936272
Energy,DENBURY RESOURCE,0,350.0,-20.6349174645166
Technology,RED HAT INC,31800.0,4000.0,-15.6241339658658
Consumer D,STAPLES INC,1725.0,51750.0,-43.9151844160145
Materials,PRAXAIR INC,1000.0,5300.0,-1.9156667395232
Consumer D,WHIRLPOOL CORP,250.0,2750.0,-19.4073190364733
Consumer D,O'REILLY AUTOMOT,0,0,-5.37530376047545
Financial,VISA INC-CLASS A,0,0,-10.0908164659152
Consumer D,PETSMART INC,250.0,500.0,12.9250244242903
Materials,NEWMONT MINING,750.0,500.0,11.5076739429583
Consumer D,TIME WARNER INC,14528.0,0,-11.7334947482096
Health,GILEAD SCIENCES,11750.0,3750.0,-17.0468995353892
Consumer S,KRAFT FOODS GROU,0,650.0,0
Consumer D,MACY'S INC,5750.0,550.0,2.37915696911441
Financial,LEUCADIA NATL,0,0,-14.0316150395251
Energy,WPX ENERGY,0,8400.0,0
Producer,UNITED TECH CORP,0,0,-16.3546723130553
Materials,FMC CORP,0,0,-14.2902857694885
Health,HOSPIRA INC,0,1065.0,-9.20405463046269
Financial,APARTMENT INVEST,0,0,0
Consumer D,STARBUCKS CORP,0,0,-5.31873958472802
Consumer D,EXPEDIA INC,8000.0,0,-12.4423886662793
Health,AETNA INC,4100.0,22700.0,-18.9398407809439
Producer,ADT CORP/THE,0,0,-100
Financial,CHUBB CORP,500.0,0,-29.8533707677312
Energy,MARATHON PETROLE,1485.0,13845.0,-5.63887169791867
Utilities,CONS EDISON INC,0,0,-2.95006768704869
Consumer D,WYNDHAM WORLDWID,4500.0,1000.0,-8.68481838825073
Energy,EXXON MOBIL CORP,6125.0,58750.0,-1.69195106097013
Technology,TERADYNE INC,250.0,701.0,-46.1111032421869
Technology,INTUIT INC,10575.0,32901.0,-1.43969141381854
Technology,IBM,217541.0,95276.0,-2.4996759991344
Financial,SUNTRUST BANKS,7835.0,12512.0,6.67121783037268
Utilities,SOUTHERN CO,220.0,1000.0,2.65343609318353
Consumer D,AUTOZONE INC,0,0,5.70703875502686
Consumer S,PHILIP MORRIS IN,0,0,-2.0197458428578
Technology,COGNIZANT TECH-A,0,0,-15.2443658706305
Financial,GENWORTH FINANCI,6350.0,8500.0,-39.247311827957
Technology,APPLIED MATERIAL,8951.0,4652.0,-30.713743206933
Health,ALEXION PHARM,0,0,-10.115461916692
Producer,EATON CORP PLC,0,0,-13.8560528092786
Other,ENSCO PLC-CL A,0,0,-10.3153742946341
Consumer S,KIMBERLY-CLARK,1520.0,4500.0,-6.07794380581077
Financial,SIMON PROPERTY,0,0,-3.87108743037244
Consumer D,APOLLO GROUP-A,2410.0,700.0,-1.11345969098665
Consumer D,JOHNSON CONTROLS,1800.0,2701.0,-19.6121928697847
Consumer S,BROWN-FORMAN -B,0,0,1.27077541525038
Consumer D,KOHLS CORP,500.0,0,21.1242098547501
Consumer D,BIG LOTS INC,625.0,0,-14.2436408163265
Consumer D,HARLEY-DAVIDSON,1300.0,5000.0,-11.2096031002634
Consumer S,LORILLARD INC,0,10250.0,-4.02696255198756
Consumer S,CAMPBELL SOUP CO,0,0,-1.32312721329337
Energy,ROWAN COMPANIE-A,0,500.0,-8.17430311741073
