parent_company_name,child_company_name
AETNA INC,"ASI WINGS, L.L.C"
JOHNSON & JOHNSON,"ORTHO-MCNEIL NEUROLOGICS, INC"
TEXTRON INC,TEXTRON IPMP INC
COMCAST CORP,"TGN, INC/"
ALCOA INC,"ALUMAX FOILS, INC"
CAREFUSION CORP,VIASYS NEUROCARE INC
COMCAST CORP,TIME INC. VENTURES /
COMCAST CORP,"MAPQUEST.COM, INC/"
PFIZER INC,"ENCYSIVE, L.P. 100% OWNED SUBSIDIARY A PARTNERSHIP"
EXXON MOBIL CORP,"PERI ACQUISITIONS MANGEMENT #2, LLC"
ALCOA INC,HOWMET HOLDINGS COMPANY
KINDER MORGAN INC,KM LIQUIDS TERMINALS LLC
COMCAST CORP,TELEPICTURES PRODUCTION INC/
COMCAST CORP,CASTLE ROCK ENTERTAINMENT /
DUKE ENERGY CORP,"DEGS OF ROCK HILL, LLC"
CAREFUSION CORP,VIASYS MANUFACTURING INC
KINDER MORGAN INC,KINDER MORGAN CAMERON PRAIRIE PIPELINE LLC
COMCAST CORP,"CABLE NEWS INTERNATIONAL, INC. /"
DUKE ENERGY CORP,"DUKE COMMUNICATION SERVICES, INC"
EXXON MOBIL CORP,"PERI TEXAS RESOURCES, LP"
KINDER MORGAN INC,KNIGHT POWER COMPANY LLC
WELLS FARGO & CO,SANTA CLARA CAPITAL LLC
COMCAST CORP,WARNER HOME VIDEO INC/
WELLS FARGO & CO,PENINSULA REAL ESTATE CORPORATION
EXXON MOBIL CORP,XTO BARNETT INC
LOEWS CORP,HIGHMOUNT EXPLORATION & PRODUCTION MICHIGAN LLC
KINDER MORGAN INC,"EMORY B CRANE, LLC"
ECOLAB INC,"ISOLYSER-MSI, INC"
KINDER MORGAN INC,KINDER MORGAN TEXAS PIPELINE LLC
COMCAST CORP,"TURNER ARENA PRODUCTIONS AND SALES, INC/"
KINDER MORGAN INC,"STEVEDORE HOLDINGS, L.P."
COMCAST CORP,"MEDIA NETWORKS, INC. /"
ALCOA INC,AAC HOLDINGS COMPANY
KINDER MORGAN INC,"KINDER MORGAN MANAGEMENT, LLC"
KINDER MORGAN INC,"RIVER CONSULTING, LLC"
COMCAST CORP,PARTNERSHIP/
KINDER MORGAN INC,KINDER MORGAN NATGAS OPERATOR LLC
DUKE ENERGY CORP,"DEGS EPCOM COLLEGE PARK, LLC"
WELLS FARGO & CO,"RODEL HOLDINGS, INC"
COMCAST CORP,"NEW LINE PRODUCTIONS, INC/"
COMCAST CORP,DISTRIBUTION INC
KINDER MORGAN INC,"KN GAS GATHERING, INC"
KINDER MORGAN INC,KINDER MORGAN PORT MANATEE TERMINAL LLC
AMERICAN EXPRESS CO,AMERICAN EXPRESS RECEIVABLES FINANCING CORPORATION VI LLC
WELLS FARGO & CO,ROHM AND HAAS INTERNATIONAL HOLDINGS INC
WELLS FARGO & CO,WACHOVIA AUTO LOAN OWNER TRUST
PROGRESSIVE CORP,PROGRESSIVE FREEDOM INSURANCE COMPANY
KINDER MORGAN INC,"KINDER MORGAN ARROW TERMINALS HOLDINGS, INC"
COMCAST CORP,WARNER BROS. TECHNICAL OPERATIONS INC.
COMCAST CORP,"HANNA-BARBERA ENTERTAINMENT CO., INC. /"
KINDER MORGAN INC,"CIG TRAILBLAZER GAS COMPANY, L.L.C."
COMCAST CORP,WARNER BROS. MUSIC INTERNATIONAL INC. /
COMCAST CORP,"TEN INVESTMENT COMPANY, INC/"
WELLS FARGO & CO,PETALUMA CAPITAL LLC
KINDER MORGAN INC,"TRANSLOAD SERVICES, LLC"
WELLS FARGO & CO,AGROFRESH INC
COMCAST CORP,"AMERICA ONLINE, INC. /"
WELLS FARGO & CO,CNB INVESTMENT TRUST II
WELLS FARGO & CO,"MENTOR PERPETUAL ADVISORS, LLC"
COMCAST CORP,TIME WARNER INC. (REGISTRANT)
COMCAST CORP,TIME INTERNATIONAL INC/
COMCAST CORP,"DIGITAL CITY, INC/"
COMCAST CORP,"NEW LINE TELEVISION, INC/"
COMCAST CORP,TIME WARNER NY CABLE LLC
DOW CHEMICAL CO,DOW HYDROCARBONS AND RESOURCES INC
KINDER MORGAN INC,CARBON EXCHANGE LLC
COMCAST CORP,"TURNER NETWORK TELEVISION LP, LLLP /"
KINDER MORGAN INC,KINDER MORGAN PORT TERMINALS USA LLC
WELLS FARGO & CO,CVD INCORPORATED
CONOCOPHILLIPS,GLACIER PARK COMPANY/
KINDER MORGAN INC,NORTHEAST EXPRESS PIPELINE LLC
DUKE ENERGY CORP,"DEGS BIOGAS, INC"
KINDER MORGAN INC,KINDER MORGAN PORT SUTTON TERMINAL LLC
COMCAST CORP,"TEXAS CABLE PARTNERS, L.P. /"
COMCAST CORP,"THE CARTOON NETWORK LP, LLLP /"
WELLS FARGO & CO,SHIPLEY HOLDINGS INC
COMCAST CORP,"CNN AMERICA, INC. /"
WELLS FARGO & CO,BAY BANK OF COMMERCE
EXXON MOBIL CORP,PERI LLC
KINDER MORGAN INC,"SFPP, L.P."
MATTEL INC,"PARENT REFERS TO MATTEL, INC"
AMERICAN EXPRESS CO,AMERICAN EXPRESS CENTURION SERVICES CORPORATION
EXXON MOBIL CORP,"XTO RESOURCES I LP, LLC"
COMCAST CORP,"NULLSOFT, INC/"
RAYTHEON CO,"E-SYSTEMS TECHNOLOGIES HOLDING, INC"
AMERICAN EXPRESS CO,"GA LEGACY, LLC"
COMCAST CORP,"AOL COMMUNITY, INC/"
DUKE ENERGY CORP,"NATIONAL HELIUM, LLC"
WELLS FARGO & CO,CUPERTINO NATIONAL BANK
KINDER MORGAN INC,"KINDER MORGAN (DELAWARE), INC. - DE"
COMCAST CORP,CASTLE ROCK ENTERTAINMENT/
CITIGROUP INC,CITIGROUP FINANCIAL PRODUCTS INC
MORGAN STANLEY,TRANSMONTAIGNE GP L.L.C.
COMCAST CORP,CENTURY VENTURE CORPORATION /
WELLS FARGO & CO,INTERWEST CAPITAL TRUST I
COMCAST CORP,THE PARENTING GROUP INC/
WELLS FARGO & CO,REDWOOD CAPITAL LLC
COMCAST CORP,"HOME BOX OFFICE, INC/"
KINDER MORGAN INC,"KINDER MORGAN BULK TERMINALS, INC"
COMCAST CORP,NEW LINE CINEMA CORPORATION /
AMERICAN EXPRESS CO,"AMERICAN EXPRESS INTERNATIONAL SECURITIES, INC"
WEYERHAEUSER NR CO,WEYERHAEUSER SOLUTIONS CHINA LLC
KINDER MORGAN INC,KM CRANE LLC
DANAHER CORP,TEKTRONIX FOREIGN SALES CORPORATION (GUAM)
DOW CHEMICAL CO,DOW HYDROCARBONS AND RESOURCES LLC
DUKE ENERGY CORP,"DUKE JAVA, INC"
WELLS FARGO & CO,ROHM AND HAAS CREDIT CORPORATION
COMCAST CORP,"EVOICE, INC. /"
MORGAN STANLEY,TRANSMONTAIGNE TRANSPORT INC
MORGAN STANLEY,MS SOLAR HOLDINGS INC
KINDER MORGAN INC,MJR OPERATING LLC
COMCAST CORP,"ADVERTISING.COM, INC/"
KINDER MORGAN INC,KINDER MORGAN POWER COMPANY
AMERICAN EXPRESS CO,ADVISORY CAPITAL STRATEGIES GROUP INC
WELLS FARGO & CO,ROHM AND HAAS TEXAS INC
WEYERHAEUSER CO,MB ADMINISTRATIVE SERVICES INC
COMCAST CORP,"TIME WARNER COMPANIES, INC. /"
COMCAST CORP,"COMEDY PARTNERS, L.P. /"
ALCOA INC,"ALCOA EXTRUSIONS, INC"
COMCAST CORP,THE PARENTING GROUP INC. /
CITIGROUP INC,CALIFORNIA COMMERCE BANK
WELLS FARGO & CO,PLACER STATUTORY TRUST III
COMCAST CORP,"TURNER BROADCASTING SYSTEM ASIA PACIFIC, INC/"
COMCAST CORP,AOL MUSIC NOW LLC/
MORGAN STANLEY,TPSI TERMINALS L.L.C.
FIFTH THIRD BANCORP,FIRST NATIONAL BANKSHARES STATUTORY TRUST II
ALCOA INC,"ALUMAX MILL PRODUCTS, INC"
CITIGROUP INC,CITIGROUP GLOBAL MARKETS BRASIL HOLDING INC
WELLS FARGO & CO,MORTON INTERMEDIATE COMPANY
COMCAST CORP,"TURNER CLASSIC MOVIES LP, LLLP/"
MORGAN STANLEY,LITTLEHILL (US) LLC
WELLS FARGO & CO,"SHIPLEY COMPANY, L.L.C"
MORGAN STANLEY,MS LC CORP
FORD MOTOR CO,FORD CREDIT AUTO OWNER TRUST
COMCAST CORP,WORD HOLDINGS LLC /
EXXON MOBIL CORP,XTO BARNETT LLC
DUKE ENERGY CORP,"DEGS THREE BUTTES, LLC"
COMCAST CORP,"TIME WARNER CABLE SAN ANTONIO, L.P/"
KINDER MORGAN INC,NATURAL GAS PIPELINE COMPANY OF AMERICAN LLC
CITIGROUP INC,SEVEN WORLD HOLDINGS LLC
COMCAST CORP,"TIME CUSTOMER SERVICE, INC. /"
KINDER MORGAN INC,"VALLEY GAS TRANSMISSION, LLC"
DUKE ENERGY CORP,"MP SUPPLY, INC"
KINDER MORGAN INC,KINDER MORGAN SOUTHEAST TERMINALS LLC
KINDER MORGAN INC,NGPL PIPECO LLC
LOEWS CORP,HIGHMOUNT EXPLORATION & PRODUCTION ALABAMA LLC
COMCAST CORP,"TURNER ENTERTAINMENT NETWORKS ASIA, INC/"
KINDER MORGAN INC,"FRANK L. CRANE, LLC"
WELLS FARGO & CO,"MATSCO LEASE FINANCE, INC. III"
ALTRIA GROUP INC,STIMSON LANE LTD
AMERICAN EXPRESS CO,KENWOOD CAPITAL MANAGEMENT LLC
COMCAST CORP,"E.C. PUBLICATIONS, INC. /"
PFIZER INC,"IMMUNOPHARMACEUTICS, INC. 100% OWNED SUBSIDIARY"
WELLS FARGO & CO,ROHM AND HAAS CHEMICALS LLC
MORGAN STANLEY,RAZORBACK L.L.C.
KINDER MORGAN INC,KINDER MORGAN TRANSCOLORADO LLC
MORGAN STANLEY,"FD INSURANCE SERVICES OF NEVADA, INC"
KINDER MORGAN INC,KINDER MORGAN LAS VEGAS LLC
BALL CORP,"BALL METAL FOOD CONTAINER, LLC"
COMCAST CORP,"CNN AMERICA, INC/"
COMCAST CORP,"SUPERSTATION, INC. /"
ALCOA INC,"KAWNEER GERMANY, INC"
COMCAST CORP,TIME INTERNATIONAL INC. /
COMCAST CORP,AMERICAN TELEVISION AND COMMUNICATIONS CORPORATION/
COMCAST CORP,"SYNAPSE GROUP, INC/"
COMCAST CORP,WARNER MUSIC GROUP INC. /
KINDER MORGAN INC,KINDER MORGAN WINK PIPELINE LLC
COMCAST CORP,TIME  VENTURES LLC /
COMCAST CORP,ELEKTRA ENTERTAINMENT GROUP INC. /
EXXON MOBIL CORP,"TIMBERLAND GATHERING & PROCESSING COMPANY, INC"
COMCAST CORP,TIME WARNER INC. /
DUKE ENERGY CORP,"DUKE ENERGY INTERNATIONAL PJP HOLDINGS, LTD. (BERMUDA)"
KINDER MORGAN INC,"HBM ENVIRONMENTAL, INC"
COMCAST CORP,"TIME4 MEDIA, INC. /"
WELLS FARGO & CO,CHARLES LENNIG & COMPANY LLC
KINDER MORGAN INC,FERNANDINA MARINE CONSTRUCTION MANAGEMENT LLC
CITIGROUP INC,CT MEZZANINE FUND III MANAGER LLC
COMCAST CORP,"MEDIA NETWORKS, INC/"
ACE LTD,ACE INA HOLDINGS INC
COMCAST CORP,WARNER BROS. (F.E.) INC/
CITIGROUP INC,CITIGROUP ALTERNATIVE INVESTMENTS MULTI-ADVISER HEDGE FUND PORTFOLIOS LLC
COMCAST CORP,"TURNER SPORTS, INC. /"
KINDER MORGAN INC,EXPRESS PIPELINE LLC
KINDER MORGAN INC,ROCKIES EXPRESS PIPELINE LLC
WELLS FARGO & CO,PACIFIC BUSINESS FUNDING CORPORATION
FIFTH THIRD BANCORP,"FTPS PARTNERS, LLC"
COMCAST CORP,TW VENTURES INC/
COMCAST CORP,"ATLANTA NATIONAL LEAGUE BASEBALL CLUB, INC/"
COMCAST CORP,"CNN NEWSOURCE SALES, INC/"
COMCAST CORP,"TURNER INTERNATIONAL, INC. /"
KINDER MORGAN INC,KINDER MORGAN
COMCAST CORP,AOL TIME WARNER BOOK GROUP INC. /
KINDER MORGAN INC,"HYDROCARBON DEVELOPMENT, LLC"
KINDER MORGAN INC,KINDER MORGAN CARBON DIOXIDE TRANSPORTATION COMPANY
WELLS FARGO & CO,PACIFIC NORTHWEST STATUTORY TRUST I
KINDER MORGAN INC,"KINDER MORGAN TRANSCOLORADO, INC"
WELLS FARGO & CO,GOLDEN GATE BANK
