Ticker,Short Name,Market Cap,Price:D-1,P/E,Total Return YTD,Revenue T12M,EPS T12M
AAPL US Equity,APPLE INC,5.25E+11,558.001892,12.635912,39.023558,1.57E+11,44.66
XOM US Equity,EXXON MOBIL CORP,4.02E+11,88.18,11.21883,6.693728,4.26E+11,9.47
WMT US Equity,WAL-MART STORES,2.46E+11,73.110001,15.621795,24.645482,4.61E+11,4.77
MSFT US Equity,MICROSOFT CORP,2.45E+11,29.08,11.271318,14.259053,72359000064,1.87
GE US Equity,GENERAL ELECTRIC,2.22E+11,21.129999,14.472602,20.963328,1.44E+11,1.26
GOOG US Equity,GOOGLE INC-CL A,2.19E+11,667.119995,20.25258,3.285334,47544000512,32.4
IBM US Equity,IBM,2.16E+11,191.160004,13.07524,5.719068,1.05E+11,14.07
BRK/B US Equity,BERKSHIRE HATH-B,2.13E+11,85.449997,17.025998,11.992128,1.56E+11,8067
CVX US Equity,CHEVRON CORP,2.10E+11,107.510002,9.173208,3.559593,2.25E+11,12.3
JNJ US Equity,JOHNSON&JOHNSON,1.94E+11,70.339996,13.928712,10.238671,65920999424,3.08
T US Equity,AT&T INC,1.91E+11,33.638187,14.689164,17.260405,1.27E+11,0.78
PG US Equity,PROCTER & GAMBLE,1.86E+11,68.059998,18.544959,5.444134,83280001024,3.73
PFE US Equity,PFIZER INC,1.81E+11,24.17,10.790179,16.044108,61184001024,1.3
WFC US Equity,WELLS FARGO & CO,1.73E+11,32.91,10.188855,22.640863,90176000000,3.22
KO US Equity,COCA-COLA CO/THE,1.65E+11,36.720001,18.879178,7.16599,47601999872,1.95
JPM US Equity,JPMORGAN CHASE,1.54E+11,40.48,7.710476,25.370846,1.06E+11,4.73
ORCL US Equity,ORACLE CORP,1.48E+11,30.790001,15.093138,21.038752,36928000000,2.05
PM US Equity,PHILIP MORRIS IN,1.46E+11,86.349998,17.132936,13.070603,31159000064,5.01
MRK US Equity,MERCK & CO,1.35E+11,44.459999,11.284264,21.662468,47824000000,2.21
VZ US Equity,VERIZON COMMUNIC,1.23E+11,43.189999,18.07113,12.971258,1.14E+11,1.08
PEP US Equity,PEPSICO INC,1.07E+11,68.989998,16.504784,6.449461,65696000000,3.79
C US Equity,CITIGROUP INC,1.06E+11,36.049999,9.363636,37.193688,90936999936,2.43
AMZN US Equity,AMAZON.COM INC,1.05E+11,232.060806,437.850583,34.061697,57255999488,0.1
INTC US Equity,INTEL CORP,1.04E+11,20.91,8.974249,-10.796423,53751000064,2.36
ABT US Equity,ABBOTT LABS,1.02E+11,64.519997,12.878243,18.50376,39413974016,4.12
BAC US Equity,BANK OF AMERICA,99481657344,9.23,15.131147,66.655699,1.08E+11,0.37
QCOM US Equity,QUALCOMM INC,99040387072,58.121311,16.3722,7.527247,19120999936,3.59
CMCSA US Equity,COMCAST CORP-A,96626360320,36.580002,19.457448,56.619703,61674999808,2.21
V US Equity,VISA INC-CLASS A,95465619456,142.559998,23.030695,41.183671,10420999936,3.16
HD US Equity,HOME DEPOT INC,93446316032,61.990002,22.460146,50.006594,71717998592,2.82
SLB US Equity,SCHLUMBERGER LTD,93102489600,70.129997,16.618483,3.858941,42641000448,4.16
CSCO US Equity,CISCO SYSTEMS,91041955840,17.209999,11.175324,-2.974908,46061000704,1.5
DIS US Equity,WALT DISNEY CO,89857277952,50.080002,16.80537,33.546672,41920999424,3.06
MCD US Equity,MCDONALDS CORP,87205412864,86.860001,16.357815,-11.441843,27437599744,5.37
UTX US Equity,UNITED TECH CORP,71197179904,77.68,14.072464,8.322447,56238998528,4.93
UPS US Equity,UNITED PARCEL-B,69970608128,73.004623,16.259382,1.990648,53721999360,3.41
COP US Equity,CONOCOPHILLIPS,68912799744,56.77,8.498503,6.906595,1.38E+11,8.16
AMGN US Equity,AMGEN INC,65486094336,85.339996,14.53833,34.8731,16817000192,5.66
