"Industry","Short.name","Ticker","abs.change","percent.change","norm.per.change","Market.Cap.Nov5","Market.Cap.Nov7","P.E.Nov5","P.E.Nov7","Total.Return.Nov5","Total.Return.Nov7","Revenue.T12M.Nov5","Revenue.T12M.Nov7","EPS.T12M.Nov5","EPS.T12M.Nov7","percent.change.by.industry","sd"
"Consumer D","CABLEVISION SY-A","CVC US Equity",0.682691999999999,4.975470722069,11.9174933032922,3801520384,3990664192,13.721154,14.403846,-4.484599,9.845567,6732740864,6732740864,0.66,0.66,-6.94202258122315,15.7560360301773
"Consumer D","GAMESTOP CORP-A","GME US Equity",-0.455829999999999,-5.22478328261912,1.71723929860403,2991935232,2888248320,8.724381,8.268551,-1.594259,-0.295096,8903800064,9077800064,-3.1,2.37,-6.94202258122315,15.7560360301773
"Consumer D","STARBUCKS CORP","SBUX US Equity",-1.625933,-5.31873958472802,1.62328299649513,42605199360,38821007360,30.569893,28.94396,6.022748,13.791127,13663300096,13299599872,1.89,1.82,-6.94202258122315,15.7560360301773
"Consumer D","DISCOVERY COMM-A","DISCA US Equity",-4.82857,-19.2291226764799,-12.2871000952567,24977967104,20298717184,25.110714,20.282144,10.759292,38.613618,4443000064,4443000064,2.75,2.75,-6.94202258122315,15.7560360301773
"Consumer D","WHIRLPOOL CORP","WHR US Equity",-3.09474,-19.4073190364733,-12.4652964552501,8777232384,7614097408,15.946252,12.851512,10.800981,110.560389,18146000384,18265000448,5.14,6.25,-6.94202258122315,15.7560360301773
"Consumer D","GANNETT CO","GCI US Equity",-1.402843,-14.9193493925188,-7.97732681129565,4558977024,3878806528,9.402843,8,10.161021,31.668309,5222643072,5222643072,1.87,1.87,-6.94202258122315,15.7560360301773
"Consumer D","GAP INC/THE","GPS US Equity",3.406003,20.7645315776366,27.7065541588598,15806456832,16957773824,16.402985,19.808988,6.217784,92.511997,15209000192,14930000128,2.07,1.81,-6.94202258122315,15.7560360301773
"Consumer D","OMNICOM GROUP","OMC US Equity",-1.828488,-11.534932686271,-4.59291010504785,14405767168,12744072192,15.851744,14.023256,9.147318,10.176146,14127800064,14127800064,3.48,3.48,-6.94202258122315,15.7560360301773
"Consumer D","PULTEGROUP INC","PHM US Equity",7.981009,28.2374764491893,35.1794990304125,7861564928,6861001728,28.263889,36.244898,12.059474,181.458009,4819998016,4515376960,0.54,0.43,-6.94202258122315,15.7560360301773
"Consumer D","BEST BUY CO INC","BBY US Equity",-0.679659,-14.7238350744338,-7.78181249321065,5446595584,5208246272,4.616046,3.936387,35.949368,-32.160092,49540000768,50886000640,-4.42,-3.96,-6.94202258122315,15.7560360301773
